"GEO_ID","NAME","POP"
"0500000US05127","Scott County, Arkansas","10996"
"0500000US05129","Searcy County, Arkansas","8261"
"0500000US05131","Sebastian County, Arkansas","115071"
"0500000US05133","Sevier County, Arkansas","15757"
"0500000US05135","Sharp County, Arkansas","17119"
"0500000US05137","Stone County, Arkansas","11499"
"0500000US05139","Union County, Arkansas","45629"
"0500000US05141","Van Buren County, Arkansas","16192"
"0500000US05143","Washington County, Arkansas","157715"
"0500000US05145","White County, Arkansas","67165"
"0500000US05147","Woodruff County, Arkansas","8741"
"0500000US05149","Yell County, Arkansas","21139"
"0500000US06001","Alameda County, California","1443741"
"0500000US06003","Alpine County, California","1208"
"0500000US06005","Amador County, California","35100"
"0500000US06007","Butte County, California","203171"
"0500000US06009","Calaveras County, California","40554"
"0500000US06011","Colusa County, California","18804"
"0500000US06013","Contra Costa County, California","948816"
"0500000US06015","Del Norte County, California","27507"
"0500000US06017","El Dorado County, California","156299"
"0500000US06019","Fresno County, California","799407"
"0500000US06021","Glenn County, California","26453"
"0500000US06023","Humboldt County, California","126518"
"0500000US06025","Imperial County, California","142361"
"0500000US06027","Inyo County, California","17945"
"0500000US06029","Kern County, California","661645"
"0500000US06031","Kings County, California","129461"
"0500000US06033","Lake County, California","58309"
"0500000US06035","Lassen County, California","33828"
"0500000US06037","Los Angeles County, California","9519338"
"0500000US06039","Madera County, California","123109"
"0500000US06041","Marin County, California","247289"
"0500000US06043","Mariposa County, California","17130"
"0500000US06045","Mendocino County, California","86265"
"0500000US06047","Merced County, California","210554"
"0500000US06049","Modoc County, California","9449"
"0500000US06051","Mono County, California","12853"
"0500000US06053","Monterey County, California","401762"
"0500000US06055","Napa County, California","124279"
"0500000US06057","Nevada County, California","92033"
"0500000US06059","Orange County, California","2846289"
"0500000US06061","Placer County, California","248399"
"0500000US06063","Plumas County, California","20824"
"0500000US06065","Riverside County, California","1545387"
"0500000US06067","Sacramento County, California","1223499"
"0500000US06069","San Benito County, California","53234"
"0500000US06071","San Bernardino County, California","1709434"
"0500000US06073","San Diego County, California","2813833"
"0500000US06075","San Francisco County, California","776733"
"0500000US06077","San Joaquin County, California","563598"
"0500000US06079","San Luis Obispo County, California","246681"
"0500000US06081","San Mateo County, California","707161"
"0500000US06083","Santa Barbara County, California","399347"
"0500000US06085","Santa Clara County, California","1682585"
"0500000US06087","Santa Cruz County, California","255602"
"0500000US06089","Shasta County, California","163256"
"0500000US06091","Sierra County, California","3555"
"0500000US06093","Siskiyou County, California","44301"
"0500000US06095","Solano County, California","394542"
"0500000US06097","Sonoma County, California","458614"
"0500000US06099","Stanislaus County, California","446997"
"0500000US06101","Sutter County, California","78930"
"0500000US06103","Tehama County, California","56039"
"0500000US06105","Trinity County, California","13022"
"0500000US06107","Tulare County, California","368021"
"0500000US06109","Tuolumne County, California","54501"
"0500000US06111","Ventura County, California","753197"
"0500000US06113","Yolo County, California","168660"
"0500000US06115","Yuba County, California","60219"
"0500000US08001","Adams County, Colorado","363857"
"0500000US08003","Alamosa County, Colorado","14966"
"0500000US08005","Arapahoe County, Colorado","487967"
"0500000US08007","Archuleta County, Colorado","9898"
"0500000US08009","Baca County, Colorado","4517"
"0500000US08011","Bent County, Colorado","5998"
"0500000US08013","Boulder County, Colorado","291288"
"0500000US08015","Chaffee County, Colorado","16242"
"0500000US08017","Cheyenne County, Colorado","2231"
"0500000US08019","Clear Creek County, Colorado","9322"
"0500000US08021","Conejos County, Colorado","8400"
"0500000US08023","Costilla County, Colorado","3663"
"0500000US08025","Crowley County, Colorado","5518"
"0500000US08027","Custer County, Colorado","3503"
"0500000US08029","Delta County, Colorado","27834"
"0500000US08031","Denver County, Colorado","554636"
"0500000US08033","Dolores County, Colorado","1844"
"0500000US08035","Douglas County, Colorado","175766"
"0500000US08037","Eagle County, Colorado","41659"
"0500000US08039","Elbert County, Colorado","19872"
"0500000US08041","El Paso County, Colorado","516929"
"0500000US08043","Fremont County, Colorado","46145"
"0500000US08045","Garfield County, Colorado","43791"
"0500000US08047","Gilpin County, Colorado","4757"
"0500000US08049","Grand County, Colorado","12442"
"0500000US08051","Gunnison County, Colorado","13956"
"0500000US08053","Hinsdale County, Colorado","790"
"0500000US08055","Huerfano County, Colorado","7862"
"0500000US08057","Jackson County, Colorado","1577"
"0500000US08059","Jefferson County, Colorado","527056"
"0500000US08061","Kiowa County, Colorado","1622"
"0500000US08063","Kit Carson County, Colorado","8011"
"0500000US08065","Lake County, Colorado","7812"
"0500000US08067","La Plata County, Colorado","43941"
"0500000US08069","Larimer County, Colorado","251494"
"0500000US08071","Las Animas County, Colorado","15207"
"0500000US08073","Lincoln County, Colorado","6087"
"0500000US08075","Logan County, Colorado","20504"
"0500000US08077","Mesa County, Colorado","116255"
"0500000US08079","Mineral County, Colorado","831"
"0500000US08081","Moffat County, Colorado","13184"
"0500000US08083","Montezuma County, Colorado","23830"
"0500000US08085","Montrose County, Colorado","33432"
"0500000US08087","Morgan County, Colorado","27171"
"0500000US08089","Otero County, Colorado","20311"
"0500000US08091","Ouray County, Colorado","3742"
"0500000US08093","Park County, Colorado","14523"
"0500000US08095","Phillips County, Colorado","4480"
"0500000US08097","Pitkin County, Colorado","14872"
"0500000US08099","Prowers County, Colorado","14483"
"0500000US08101","Pueblo County, Colorado","141472"
"0500000US08103","Rio Blanco County, Colorado","5986"
"0500000US08105","Rio Grande County, Colorado","12413"
"0500000US08107","Routt County, Colorado","19690"
"0500000US08109","Saguache County, Colorado","5917"
"0500000US08111","San Juan County, Colorado","558"
"0500000US08113","San Miguel County, Colorado","6594"
