state,county,reporting,dem,gop,lib,grn,una,oth
KS,Cheyenne,100%,188,1172,29,20,0,0
KS,Clark,100%,118,813,33,19,0,0
KS,Clay,100%,665,2831,146,85,0,0
KS,Cloud,100%,744,2856,157,74,0,0
KS,Coffey,100%,719,2990,185,68,0,0
KS,Comanche,100%,102,705,40,10,0,0
KS,Cowley,100%,3436,8016,455,264,0,0
KS,Crawford,100%,5064,8394,646,300,0,0
KS,Decatur,100%,178,1220,42,20,0,0
KS,Dickinson,100%,1582,5905,361,160,0,0
KS,Doniphan,100%,584,2601,125,56,0,0
KS,Douglas,100%,30089,14308,2349,1485,0,0
KS,Edwards,100%,208,1033,33,34,0,0
KS,Elk,100%,160,1048,35,16,0,0
KS,Ellis,100%,2669,8311,454,226,0,0
KS,Ellsworth,100%,515,1933,105,73,0,0
KS,Finney,100%,3006,6155,396,174,0,0
KS,Ford,100%,2032,4994,270,129,0,0
KS,Franklin,100%,2829,7025,546,258,0,0
KS,Geary,97.5%,2569,4116,299,145,0,0
KS,Gove,100%,149,1127,40,12,0,0
KS,Graham,100%,185,1013,38,29,0,0
KS,Grant,100%,427,1755,98,31,0,0
KS,Gray,100%,257,1651,73,30,0,0
KS,Greeley,100%,83,523,25,8,0,0
KS,Greenwood,100%,484,2146,122,59,0,0
KS,Hamilton,100%,114,690,30,13,0,0
KS,Harper,100%,388,1950,115,60,0,0
KS,Harvey,100%,5006,8503,673,358,0,0
KS,Haskell,100%,228,1011,40,21,0,0
KS,Hodgeman,100%,124,845,21,16,0,0
KS,Jackson,100%,1489,3888,211,139,0,0
KS,Jefferson,100%,2483,5112,375,181,0,0
KS,Jewell,100%,180,1204,56,43,0,0
KS,Johnson,100%,126324,133907,14673,4849,0,0
KS,Kearny,100%,224,1048,40,13,0,0
KS,Kingman,100%,594,2507,112,68,0,0
KS,Kiowa,100%,111,855,42,15,0,0
KS,Labette,100%,2234,5232,291,162,0,0
KS,Lane,100%,104,684,31,12,0,0
KS,Leavenworth,100%,10064,17387,1580,645,0,0
KS,Lincoln,100%,214,1168,39,27,0,0
KS,Linn,100%,721,3377,116,65,0,0
KS,Logan,100%,149,1124,47,28,0,0
KS,Lyon,100%,4456,6354,623,312,0,0
KS,Marion,100%,1177,3928,221,139,0,0
KS,Marshall,100%,1060,3250,196,72,0,0
KS,McPherson,100%,3183,8407,566,287,0,0
KS,Meade,100%,206,1390,61,18,0,0
KS,Miami,100%,3949,9839,667,257,0,0
KS,Mitchell,100%,469,2216,86,53,0,0
KS,Montgomery,100%,2557,8466,395,205,0,0
KS,Morris,100%,586,1790,132,60,0,0
KS,Morton,100%,145,970,32,13,0,0
KS,Nemaha,100%,714,4066,163,82,0,0
KS,Neosho,100%,1464,4340,232,115,0,0
KS,Ness,100%,160,1216,39,20,0,0
KS,Norton,100%,277,1808,65,40,0,0
KS,Osage,100%,1730,4713,289,162,0,0
KS,Osborne,100%,231,1437,45,40,0,0
KS,Ottawa,100%,424,2261,139,42,0,0
KS,Pawnee,100%,567,1872,129,34,0,0
KS,Phillips,100%,296,2200,86,29,0,0
KS,Pottawatomie,100%,2191,7451,532,185,0,0
KS,Pratt,100%,769,2824,163,50,0,0
KS,Rawlins,100%,160,1209,53,26,0,0
KS,Reno,100%,6670,15100,1239,439,0,0
KS,Republic,100%,370,1993,80,41,0,0
KS,Rice,100%,668,2652,182,65,0,0
KS,Riley,100%,8892,9817,1380,386,0,0
KS,Rooks,100%,273,1999,77,29,0,0
KS,Rush,100%,227,1177,53,17,0,0
KS,Russell,100%,454,2544,107,43,0,0
KS,Saline,100%,6084,13367,1310,445,0,0
KS,Scott,100%,232,1832,69,26,0,0
KS,Sedgwick,100%,66716,101319,8865,3850,0,0
KS,Seward,100%,1491,3025,172,55,0,0
KS,Shawnee,100%,33270,35349,3331,1698,0,0
KS,Sheridan,100%,126,1186,38,12,0,0
KS,Sherman,100%,340,2043,109,45,0,0
KS,Smith,100%,295,1635,55,29,0,0
KS,Stafford,100%,303,1485,62,34,0,0
KS,Stanton,100%,132,580,22,8,0,0
KS,Stevens,100%,215,1564,49,25,0,0
KS,Sumner,100%,2039,6844,412,199,0,0
KS,Thomas,100%,467,2832,129,55,0,0
KS,Trego,100%,193,1211,38,17,0,0
KS,Wabaunsee,100%,773,2358,140,69,0,0
KS,Wallace,100%,45,711,15,8,0,0
KS,Washington,100%,378,2136,118,45,0,0
KS,Wichita,100%,139,765,18,12,0,0
KS,Wilson,100%,550,2747,130,55,0,0
KS,Woodson,100%,270,1063,63,24,0,0
KS,Wyandotte,100%,29346,15520,1682,919,0,0
KY,Adair,100%,1323,6637,141,35,92,0
KY,Allen,100%,1349,6466,161,46,63,0
KY,Anderson,100%,2634,8242,319,54,165,0
KY,Ballard,100%,816,3161,77,20,23,0
KY,Barren,100%,4275,13483,455,93,167,0
KY,Bath,100%,1361,3082,75,24,35,0
KY,Bell,100%,1720,7764,144,42,44,0
KY,Boone,100%,15026,39082,2299,380,763,0
KY,Bourbon,100%,2791,5569,283,52,96,0
KY,Boyd,100%,6021,13591,496,167,168,0
KY,Boyle,100%,4281,8040,365,73,169,0
KY,Bracken,100%,705,2711,51,20,35,0
KY,Breathitt,100%,1537,3991,117,35,48,0
KY,Breckinridge,100%,1960,6484,194,47,80,0
KY,Bullitt,100%,8255,26210,964,253,354,0
KY,Butler,100%,947,4428,136,11,53,0
KY,Caldwell,100%,1260,4507,118,32,55,0
KY,Calloway,100%,4749,10367,492,150,281,0
KY,Campbell,100%,14658,25050,1789,422,552,0
KY,Carlisle,100%,432,2094,42,12,19,0
KY,Carroll,100%,1106,2588,100,24,33,0
KY,Carter,100%,2276,7587,237,58,109,0
